1.11.3,Javascript,1762,1739,6850
2.0.3,Javascript,1365,1421,6043
1.6.2,Javascript,1658,1384,5939
1.0.3,Javascript,373,284,1304
1.9.0,Javascript,1516,1489,6550
1.2.6,Javascript,695,656,2198
1.2.4,Javascript,680,621,2135
1.8.0,Javascript,1485,1387,6355
1.3.1,Javascript,768,631,2842
1.11.2,Javascript,1761,1735,6850
1.12.4,Javascript,2073,1857,7078
1.0.2,Javascript,372,268,1283
1.3.0,Javascript,766,626,2849
2.2.4,Javascript,1824,1612,6378
1.8.3,Javascript,1495,1432,6545
1.8.1,Javascript,1482,1398,6421
1.6.0,Javascript,1648,1365,5852
2.1.4,Javascript,1548,1491,6171
1.0.4,Javascript,445,303,1347
2.2.3,Javascript,1828,1629,6385
1.9.1,Javascript,1515,1504,6578
3.4.1,Javascript,1988,1810,6800
1.12.2,Javascript,2075,1863,7084
1.10.0,Javascript,1547,1621,6632
1.1.4,Javascript,456,404,1648
1.7.1,Javascript,1630,1254,6382
1.10.2,Javascript,1544,1596,6649
1.4.2,Javascript,1152,783,4305
1.1.3,Javascript,423,363,1554
3.3.0,Javascript,1950,1725,6689
1.10.1,Javascript,1549,1624,6634
1.12.1,Javascript,2077,1865,7084
1.6.1,Javascript,1656,1377,5903
2.0.0,Javascript,1353,1392,6010
1.7.2,Javascript,1641,1280,6483
1.12.3,Javascript,2074,1862,7079
1.1.1,Javascript,389,354,1458
3.2.1,Javascript,1932,1697,6624
3.1.0,Javascript,1889,1660,6525
1.11.0,Javascript,1772,1699,6866
1.1.2,Javascript,397,364,1484
1.0.1,Javascript,365,259,1202
1.6.4,Javascript,1672,1181,6193
1.4.0,Javascript,1072,785,4143
2.1.3,Javascript,1547,1487,6171
1.5.0,Javascript,1593,1236,5347
1.3.2,Javascript,787,636,2953
2.0.1,Javascript,1366,1446,6025
1.2.2,Javascript,670,621,2092
2.1.0,Javascript,1523,1463,6125
1.2.1,Javascript,594,440,1958
1.6.3,Javascript,1671,1180,6193
2.2.1,Javascript,1828,1627,6376
1.5.2,Javascript,1607,1308,5459
1.1.3.1,Javascript,425,363,1556
2.2.2,Javascript,1828,1629,6385
1.1.0,Javascript,385,350,1437
2.1.2,Javascript,1547,1487,6171
1.2.5,Javascript,695,654,2195
1.8.2,Javascript,1492,1430,6518
3.4.0,Javascript,1988,1802,6798
3.1.1,Javascript,1926,1686,6608
1.4.1,Javascript,1089,790,4199
1.2.3,Javascript,674,618,2116
2.1.1,Javascript,1536,1487,6167
1.11.1,Javascript,1752,1718,6838
2.0.2,Javascript,1368,1449,6025
1.12.0,Javascript,2077,1865,7085
1.4.3,Javascript,1318,892,4673
2.2.0,Javascript,1829,1624,6378
3.2.0,Javascript,1931,1691,6622
1.7.0,Javascript,1624,1267,6409
1.0.0,Javascript,362,258,1194
1.5.1,Javascript,1601,1292,5423
3.3.1,Javascript,1950,1725,6689
3.0.0,Javascript,1871,1654,6512
1.4.4,Javascript,1450,905,4824
1.2.0,Javascript,588,435,1942
